id,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24
60b5e16f-f0ed-4277-a35c-dd2933579867,19,27,13,58,21,71,61,19,37,35,47,89,20,16,20,93,23,8,41,25,11,40,50,47,92
64cc65c6-2076-40cb-8ec7-91f29ca8cd1d,26,31,36,27,24,47,61,41,61,36,32,71,26,61,17,73,31,22,29,31,26,58,35,53,44
59ed2624-1a1d-4e2c-800c-e1bd1d51408d,21,27,24,51,30,69,54,20,46,53,54,49,23,14,9,88,42,19,41,21,25,54,36,55,74
7b017dbd-5dfa-4901-b418-41ac5010545c,58,26,53,26,35,26,29,51,36,21,40,90,57,98,38,54,31,25,28,23,18,26,37,29,34
67560f24-1cc3-4be7-9fec-2289886c1ad2,3,17,4,29,4,48,110,5,53,27,36,157,7,4,3,159,9,3,20,11,3,77,27,55,122
06975b35-dad3-4c7b-9274-33ad83f0988a,14,15,5,13,16,20,97,12,44,26,33,228,16,18,17,186,24,14,6,17,5,44,10,59,54
74e02518-3b74-4ba6-b4a5-044e44f8f370,3,15,7,33,10,47,70,6,50,43,26,174,11,3,11,176,19,6,15,11,11,52,36,35,113
233419e2-4265-4e43-b8ff-087638ee2b47,8,17,8,46,5,43,92,11,49,32,42,100,11,5,5,187,9,4,10,15,6,57,21,69,126
b5506234-c969-4b27-89f5-5dffead8683a,15,19,31,41,23,44,48,27,30,29,36,174,28,28,10,96,34,11,31,27,22,30,34,44,75
78b1b726-88a9-44da-b074-897a8043a6b4,28,29,37,28,33,47,54,24,54,36,36,98,38,82,27,41,44,18,31,24,18,53,31,50,32
da0234f7-cdf2-4736-8d25-09d81b5ee793,8,17,10,63,16,79,66,14,46,49,38,113,27,15,4,119,15,12,20,13,14,52,33,40,92
522996bc-0427-4669-88dd-ed72dfac8fa1,29,25,43,36,24,25,46,42,37,26,44,124,36,51,28,89,40,33,25,48,10,26,38,47,24
57246c93-5967-4f70-a29e-85d0e325566c,28,31,50,25,36,31,32,45,31,27,29,115,40,98,36,94,33,13,35,26,11,29,42,23,31
61ce296a-11f2-49d7-89d3-976c3d2dbaec,3,20,3,40,7,31,116,2,60,35,60,155,4,1,2,141,11,6,6,15,8,63,16,80,97
bc2ed83f-c63e-4529-b913-24638fdb1203,3,14,3,18,3,6,76,4,68,9,22,467,2,1,10,114,6,10,9,10,5,29,8,46,49
67a048bd-9130-4662-b6ff-5badad42cae9,2,20,9,20,4,5,100,11,50,3,21,460,10,3,1,121,16,5,4,3,3,21,11,40,54
28d1f226-ed62-483e-a027-a123f4b66d33,22,26,27,30,18,26,50,45,43,33,35,184,30,46,21,93,28,20,29,33,16,28,25,42,45
15bcf2b1-bf72-4dae-8ea8-a9e992bf86dc,7,33,8,33,7,6,81,9,102,22,32,237,17,11,7,98,18,21,11,28,2,26,28,81,73
f28b9a47-68b8-4549-abfd-06e3038dad7b,9,21,14,51,13,81,85,6,28,58,45,77,12,10,9,114,22,2,18,11,8,96,23,42,138
0edfc16d-25cc-403d-8862-38ec9c90060a,35,22,38,33,23,42,44,33,52,30,30,75,24,51,32,84,41,18,31,42,27,28,32,40,77
97f2808a-be03-4dd0-b291-dbd797d659e1,5,34,11,29,12,23,96,17,37,16,33,295,20,4,4,105,14,15,18,8,9,36,18,49,86
